Word,V.Mean.Sum,A.Mean.Sum,Number of Anagrams,Anagrams
limbo,4.53,4.1,2,"['limbo', 'mobil']"
limestone,5.05,2.83,3,"['limestone', 'melonites', 'milestone']"
limey,4.86,3.55,3,"['elymi', 'emily', 'limey']"
limit,4.53,4.29,2,"['limit', 'milit']"
line,4.82,3.24,4,"['lien', 'line', 'neil', 'nile']"
lineage,5.32,3.37,1,['lineage']
linear,5.05,3.2,9,"['aliner', 'arline', 'enrail', 'lainer', 'lanier', 'larine', 'linear', 'nailer', 'renail']"
linebacker,5.42,4.41,1,['linebacker']
liner,4.79,3.71,1,['liner']
lineup,4.45,4.47,4,"['lineup', 'lupine', 'unpile', 'upline']"
linger,4.42,4.05,3,"['girnel', 'linger', 'ringle']"
lingering,4.95,4.48,1,['lingering']
lingo,5.33,3.3,2,"['lingo', 'login']"
linguini,5.45,4.09,1,['linguini']
linguist,5,3.71,1,['linguist']
linoleum,4.47,2.77,1,['linoleum']
lint,4.3,2.44,2,"['intl', 'lint']"
lion,5.84,5.29,4,"['lino', 'lion', 'loin', 'noil']"
liposuction,4.68,4.05,0,[]
liqueur,4.74,5.05,1,['liqueur']
liquid,5.35,3.67,1,['liquid']
liquor,4.85,5.85,1,['liquor']
lira,5.6,3.1,7,"['aril', 'lair', 'lari', 'liar', 'lira', 'rail', 'rial']"
listing,5.67,2.9,4,"['listing', 'silting', 'sliting', 'tilings']"
liter,4.37,3.65,4,"['liter', 'litre', 'relit', 'tiler']"
literal,5.84,4.35,2,"['literal', 'tallier']"
lithium,4.75,3.5,1,['lithium']
liver,4.19,3.27,6,"['ervil', 'levir', 'liver', 'livre', 'rivel', 'viler']"
livery,4.59,5.11,3,"['livery', 'livyer', 'verily']"
lizard,5.43,5.5,1,['lizard']
llama,5.43,4.04,1,['llama']
load,4.43,4.55,4,"['alod', 'dola', 'load', 'odal']"
loader,4.48,2.96,3,"['loader', 'ordeal', 'reload']"
loaf,5.75,2.45,3,"['foal', 'loaf', 'olaf']"
loan,4.19,3.3,1,['loan']
lobby,4.76,4.65,1,['lobby']
lobe,4.52,3.92,3,"['bleo', 'bole', 'lobe']"
localized,5.05,2.4,1,['localized']
locate,5.58,3.67,3,"['acetol', 'colate', 'locate']"
location,5.77,4.58,3,"['colation', 'coontail', 'location']"
locator,5.14,2.83,3,"['carotol', 'crotalo', 'locator']"
loch,5.67,3.89,2,"['chol', 'loch']"
lock,4.56,3,2,"['colk', 'lock']"
locker,4.79,3.35,2,"['locker', 'relock']"
locket,5.71,3.39,1,['locket']
locksmith,5.48,3.83,1,['locksmith']
loco,4.53,4.8,2,"['cool', 'loco']"
lode,5.24,3.45,5,"['dole', 'elod', 'lode', 'loed', 'odel']"
lofty,5.65,2.95,3,"['floyt', 'lofty', 'oftly']"
log,4.94,4.29,2,"['gol', 'log']"
logistics,5.05,3.76,2,"['glossitic', 'logistics']"
logo,5.53,3.32,3,"['golo', 'gool', 'logo']"
longboat,5.35,3.72,1,['longboat']
longitude,4.76,2.91,1,['longitude']
longtime,5.5,3.36,1,['longtime']
lookout,4.43,4.32,2,"['lookout', 'outlook']"
loom,4.94,3.65,2,"['loom', 'mool']"
loon,4.74,3.85,2,"['loon', 'nolo']"
loony,4.48,4.04,1,['loony']
loop,5.26,3.52,3,"['loop', 'polo', 'pool']"
loophole,4.84,4.71,1,['loophole']
loopy,4.67,4.25,2,"['loopy', 'pooly']"
loose,4.52,4.3,2,"['loose', 'oleos']"
loosen,5,4,1,['loosen']
loot,4.43,5.15,3,"['loot', 'loto', 'tool']"
lop,4.8,4.55,3,"['lop', 'olp', 'pol']"
lopsided,4.19,4.42,2,"['displode', 'lopsided']"
lord,5.59,3.81,1,['lord']
lordship,5.2,4.42,1,['lordship']
lotion,5.52,3.55,1,['lotion']
loudspeaker,4.67,4.3,1,['loudspeaker']
low,4.39,2.21,3,"['low', 'lwo', 'owl']"
lox,4.74,3.86,1,['lox']
lube,5.1,4.17,3,"['bleu', 'blue', 'lube']"
lubricant,5.32,5.38,1,['lubricant']
lucid,5.35,4.78,1,['lucid']
lug,4.58,3.45,2,"['gul', 'lug']"
luggage,5.19,3.75,1,['luggage']
lukewarm,4.5,2.61,2,"['lukewarm', 'warklume']"
lumbar,4.47,3.28,4,"['brumal', 'labrum', 'lumbar', 'umbral']"
lumber,5.65,3.32,3,"['lumber', 'rumble', 'umbrel']"
lumberjack,5.79,3.81,1,['lumberjack']
lunacy,4.58,5.2,2,"['lunacy', 'unclay']"
lung,4.84,2.64,2,"['gunl', 'lung']"
lunge,4.27,4.73,2,"['leung', 'lunge']"
lure,4.65,4.48,2,"['lure', 'rule']"
lustful,5.53,6.6,1,['lustful']
lusty,5.8,5.59,2,"['lusty', 'tylus']"
lycra,4.5,3.39,4,"['acryl', 'caryl', 'clary', 'cryal']"
lye,4.26,4.29,3,"['eyl', 'ley', 'lye']"
mach,5.35,3.95,2,"['cham', 'mach']"
machine,5,4.39,2,"['chimane', 'machine']"
machinery,4.65,3.89,2,"['hemicrany', 'machinery']"
macho,4.84,3.96,2,"['macho', 'mocha']"
mackerel,4.78,3.45,1,['mackerel']
macro,5.2,3.85,4,"['carom', 'coram', 'macro', 'marco']"
madam,5.17,3.05,1,['madam']
madden,4.75,5.17,4,"['damned', 'ddname', 'demand', 'madden']"
magician,5.68,4.73,1,['magician']
magistrate,4.71,3.68,2,"['magistrate', 'sterigmata']"
magna,5.09,4.63,4,"['amang', 'ganam', 'magna', 'manga']"
magnesium,4.95,2.86,1,['magnesium']
magnet,5.65,3.38,1,['magnet']
magnify,4.86,4.41,1,['magnify']
magnitude,5.1,5.11,1,['magnitude']
magpie,5.5,3.08,2,"['magpie', 'piemag']"
mahi mahi,5.52,5.16,0,[]
mahjong,5.55,3.61,1,['mahjong']
maid,5.38,3.19,5,"['admi', 'amid', 'diam', 'madi', 'maid']"
maiden,5.65,4.05,8,"['aidmen', 'daimen', 'damine', 'demain', 'dimane', 'maiden', 'median', 'medina']"
mailing,5.33,3.14,1,['mailing']
mailman,5.32,3.32,1,['mailman']
main,5.27,4.1,8,"['amin', 'anim', 'iman', 'main', 'mani', 'mian', 'mina', 'naim']"
mainframe,5,3.95,1,['mainframe']
mainland,5.3,3.67,1,['mainland']
mainstream,4.55,3.38,1,['mainstream']
major,5.52,4.24,3,"['jarmo', 'joram', 'major']"
majority,4.95,4.3,1,['majority']
makeover,5.76,5.13,0,[]
maker,5.74,4.16,3,"['maker', 'marek', 'merak']"
makeshift,5.32,4.79,1,['makeshift']
makeup,5.21,4.1,1,['makeup']
malarkey,4.45,4.33,2,"['yarmalke', 'malarkey']"
mall,4.45,5.3,1,['mall']
mallet,4.7,3.95,2,"['mallet', 'metall']"
mambo,5.52,5.05,1,['mambo']
mammoth,5.84,4.09,1,['mammoth']
mammy,5.1,3.82,1,['mammy']
man,5.42,4.36,3,"['man', 'mna', 'nam']"
manage,4.71,3.52,2,"['agname', 'manage']"
manageable,5.33,3.05,1,['manageable']
management,4.95,3.24,1,['management']
manager,4.82,4.15,2,"['gearman', 'manager']"
managerial,4.5,2.81,1,['managerial']
mandible,4.32,3.05,1,['mandible']
mandolin,5.7,3.14,1,['mandolin']
mane,5.32,4.17,6,"['amen', 'enam', 'mane', 'mean', 'name', 'nema']"
maneuver,4.63,4.33,3,"['maneuver', 'maneuvre', 'manuever']"
manger,5.5,3.05,4,"['engram', 'german', 'manger', 'ragmen']"
mangy,4.3,4.86,1,['mangy']
manhole,4.8,4.09,2,"['holeman', 'manhole']"
manic,4.19,4.55,2,"['amnic', 'manic']"
manicurist,5.57,4.17,1,['manicurist']
manifest,4.81,4.12,1,['manifest']
manifestation,4.38,4.21,1,['manifestation']
manifold,4.8,3.22,1,['manifold']
manned,5.14,4.47,1,['manned']
mannequin,5.35,3.9,1,['mannequin']
mantel,4.74,2.93,5,"['lament', 'manlet', 'mantel', 'mantle', 'mental']"
mantis,4.95,3.25,4,"['manist', 'mantis', 'matins', 'stamin']"
mantle,5.35,2.45,5,"['lament', 'manlet', 'mantel', 'mantle', 'mental']"
mantra,5.47,3.48,2,"['mantra', 'tarman']"
manual,4.95,3.17,2,"['alumna', 'manual']"
manufacture,5,4.41,1,['manufacture']
manufacturing,5,4.5,1,['manufacturing']
map,5.81,3.95,3,"['amp', 'map', 'pam']"
marathon,5.48,5.04,1,['marathon']
marble,5.8,3.57,5,"['ambler', 'blamer', 'lamber', 'marble', 'ramble']"
mare,5.62,3.64,5,"['erma', 'mare', 'mear', 'rame', 'ream']"
margarine,4.85,3.14,1,['margarine']
margin,4.75,3.71,3,"['arming', 'ingram', 'margin']"
marginal,4.6,3.57,2,"['alarming', 'marginal']"
mariner,5.58,3.43,1,['mariner']
marital,5.24,4.91,2,"['marital', 'martial']"
maritime,4.9,3.36,1,['maritime']
marker,5.8,4.05,2,"['marker', 'remark']"
marketing,4.83,4.75,1,['marketing']
marksman,5.05,4.59,1,['marksman']
marksmanship,5.19,4.96,1,['marksmanship']
maroon,5.41,4.37,3,"['maroon', 'ramoon', 'romano']"
marooned,4.26,5.9,1,['marooned']
marquis,4.77,3.77,2,"['asquirm', 'marquis']"
marrow,4.29,3.65,1,['marrow']
marshal,4.62,4.08,1,['marshal']
mart,5.32,3.55,2,"['mart', 'tram']"
martial,5.4,4.23,2,"['marital', 'martial']"
martyr,4.24,4.52,1,['martyr']
marvel,5.84,4.77,1,['marvel']
marzipan,5.4,3.91,1,['marzipan']
mascara,4.79,4.55,3,"['maracas', 'marasca', 'mascara']"
mascot,5.5,4.11,2,"['comsat', 'mascot']"
masculine,5.79,5.19,4,"['calumnies', 'masculine', 'semuncial', 'simulance']"
masculinity,5.75,4.7,1,['masculinity']
mash,4.81,3.85,4,"['hams', 'mash', 'samh', 'sham']"
mashed,4.61,4.15,2,"['mashed', 'shamed']"
mask,4.81,3.26,2,"['kasm', 'mask']"
masked,5.14,4,1,['masked']
masquerade,5.53,5.17,1,['masquerade']
mass,5.15,3.56,1,['mass']
masses,4.41,4.11,1,['masses']
masseur,5.73,4.68,4,"['amusers', 'assumer', 'erasmus', 'masseur']"
massive,5.18,5.79,2,"['massive', 'mavises']"
mast,4.85,3.71,4,"['mast', 'mats', 'stam', 'tams']"
master,5.72,4.4,9,"['armets', 'martes', 'master', 'maters', 'matres', 'ramets', 'remast', 'stream', 'tamers']"
mastermind,5.15,5.58,1,['mastermind']
masturbate,5.65,6.42,1,['masturbate']
mat,5,2.86,4,"['amt', 'atm', 'mat', 'tam']"
matador,5,4.35,1,['matador']
match,5.61,3.05,1,['match']
matchbook,5.05,3.65,1,['matchbook']
matchmaker,5.63,4,1,['matchmaker']
material,5.71,3.74,1,['material']
materialize,5.75,3.95,1,['materialize']
maternity,5.76,4.83,1,['maternity']
math,4.45,4.96,1,['math']
mathematical,5.29,3.48,1,['mathematical']
mathematician,5.24,3.57,1,['mathematician']
mathematics,4.89,4.33,1,['mathematics']
mating,5.76,6.35,2,"['mating', 'taming']"
matron,4.79,3.59,2,"['matron', 'ortman']"
matter,5.82,4.05,2,"['matter', 'mettar']"
mattress,5.74,3.45,3,"['mattress', 'smartest', 'smatters']"
maudlin,4.75,3.58,2,"['adlumin', 'maudlin']"
mausoleum,4.5,3.87,1,['mausoleum']
mauve,5.1,2.88,2,"['aevum', 'mauve']"
maxim,5.74,4.1,1,['maxim']
maximum,4.7,5.05,1,['maximum']
may,5.55,3.19,4,"['amy', 'yam', 'may', 'mya']"
mayday,4.42,4.27,1,['mayday']
mayflower,5.29,2.91,1,['mayflower']
mayonnaise,5.65,3.9,1,['mayonnaise']
mayor,4.59,4.15,2,"['mayor', 'moray']"
maze,5.84,4.83,1,['maze']
meantime,4.44,3.9,1,['meantime']
measure,5.14,4.36,2,"['measure', 'reamuse']"
measurement,5.11,3.09,1,['measurement']
measuring cup,5.75,3.62,0,[]
measuring tape,5.43,2.15,0,[]
meatloaf,5.16,4.46,0,[]
mechanic,5.45,4.45,1,['mechanic']
mechanical,5.67,5.4,1,['mechanical']
mechanism,4.9,3.64,1,['mechanism']
med,5,3.52,2,"['dem', 'med']"
medal,5.2,5.3,3,"['demal', 'lamed', 'medal']"
medallion,5.85,3.25,2,"['medaillon', 'medallion']"
medial,4.65,3.55,3,"['aldime', 'mailed', 'medial']"
median,4.5,3.23,8,"['aidmen', 'daimen', 'damine', 'demain', 'dimane', 'maiden', 'median', 'medina']"
mediation,5.5,2.85,2,"['diatomine', 'mediation']"
medic,5.2,3.55,1,['medic']
medical,5.22,4.05,5,"['camelid', 'claimed', 'decimal', 'declaim', 'medical']"
medicate,4.15,4.14,2,"['decimate', 'medicate']"
medicinal,5.45,5.87,2,"['adminicle', 'medicinal']"
medieval,5.6,4.4,1,['medieval']
mediocre,4.43,3,1,['mediocre']
medium,4.85,3,1,['medium']
meek,4.92,3.14,1,['meek']
meeting,4.55,3.71,3,"['meeting', 'teeming', 'tegmine']"
mega,5.6,5.11,3,"['egma', 'game', 'mage']"
melodrama,4.25,4.83,1,['melodrama']
melodramatic,4.21,5.79,1,['melodramatic']
membership,5.61,4.45,1,['membership']
membrane,4.95,3.23,1,['membrane']
memo,4.7,2.39,2,"['memo', 'mome']"
memorandum,4.5,3.96,1,['memorandum']
memorial,5.72,3.25,1,['memorial']
memorize,5.7,3.9,1,['memorize']
mental,4.58,3.68,5,"['lament', 'manlet', 'mantel', 'mantle', 'mental']"
mentality,4.76,4.62,1,['mentality']
menthol,4.9,2.9,1,['menthol']
mention,5.39,2.65,1,['mention']
merchandise,5.21,3.78,1,['merchandise']
merchant,5.21,3.68,1,['merchant']
mercury,5.67,4.8,1,['mercury']
mere,4.68,3.71,5,"['emer', 'erme', 'meer', 'mere', 'reem']"
merge,4.95,3.5,1,['merge']
mescaline,5,4.65,1,['mescaline']
mesh,5.25,3.11,3,"['hems', 'mesh', 'shem']"
messenger,5.65,4.57,1,['messenger']
metabolic,5.11,4.67,1,['metabolic']
metabolism,5.4,4.17,1,['metabolism']
metal,5.05,3.48,2,"['amlet', 'metal']"
metallic,5.26,4.32,1,['metallic']
metamorphosis,5.25,4.27,1,['metamorphosis']
metaphysical,5.48,4,2,"['lymphectasia', 'metaphysical']"
meteor,5.1,5.62,3,"['emoter', 'meteor', 'remote']"
meter,5.53,3.25,4,"['meter', 'metre', 'remet', 'retem']"
method,5.2,4.17,2,"['method', 'mothed']"
methodical,5.11,3.76,1,['methodical']
methodology,4.84,3.41,1,['methodology']
meticulous,5.14,4.8,1,['meticulous']
metric,4.95,3.67,1,['metric']
metropolis,4.95,4.95,1,['metropolis']
metropolitan,5.84,4.91,1,['metropolitan']
mezzanine,5.32,3.77,1,['mezzanine']
micro,5.5,3.48,3,"['micro', 'moric', 'romic']"
microchip,5.6,3.52,1,['microchip']
microfilm,5.53,3.5,1,['microfilm']
microphone,5.11,4.19,2,"['microphone', 'neomorphic']"
microscopic,5.24,3.86,1,['microscopic']
microwave,5.25,4,1,['microwave']
mid,5.21,2.8,2,"['dim', 'mid']"
midair,5,5.23,1,['midair']
midday,5.37,3.63,1,['midday']
middle,5.22,2.85,1,['middle']
middleman,4.24,3.92,1,['middleman']
midget,4.58,4,1,['midget']
midlife,4.71,3.09,0,[]
midline,4.79,3.36,1,['midline']
midshipman,4.75,2.72,1,['midshipman']
midst,5.25,2.62,1,['midst']
midtown,5.83,4.2,1,['midtown']
midwife,5.65,3.14,1,['midwife']
mignon,5.57,3.37,1,['mignon']
migrate,4.57,3.33,2,"['migrate', 'ragtime']"
migration,4.52,3.54,1,['migration']
mil,4.85,4.05,2,"['lim', 'mil']"
mile,4.78,3.43,3,"['emil', 'lime', 'mile']"
military,4.9,5.8,2,"['limitary', 'military']"
militia,4.21,4.36,1,['militia']
milkman,5.75,2.73,1,['milkman']
milky,5,3.7,1,['milky']
mill,5.39,2.21,1,['mill']
millennium,4.85,4.59,1,['millennium']
milligram,5.28,3.1,1,['milligram']
millimeter,4.86,3.62,2,"['millimeter', 'millimetre']"
millionth,5.42,4.64,1,['millionth']
millstone,4.86,3.12,1,['millstone']
mime,4.58,2.81,2,"['emim', 'mime']"
mimic,4.67,3.85,1,['mimic']
mince,5.23,4.14,2,"['menic', 'mince']"
miner,4.81,4.05,2,"['inerm', 'miner']"
mingle,5.21,4.41,1,['mingle']
minibus,4.89,3.56,2,"['minibus', 'minisub']"
minimal,4.62,3.41,1,['minimal']
minimize,5.16,4.19,1,['minimize']
minimum,4.8,3.27,1,['minimum']
mining,4.5,4.57,1,['mining']
minion,5.33,5,1,['minion']
minister,5,3.85,3,"['interims', 'minister', 'misinter']"
ministry,5.08,3.85,2,"['ministry', 'myristin']"
minivan,4.4,2.95,0,[]
minor,4.81,3.26,2,"['minor', 'morin']"
minority,4.75,3.1,1,['minority']
minute,5.5,3.76,5,"['minuet', 'minute', 'munite', 'mutine', 'untime']"
mirage,4.47,3.8,5,"['gamier', 'imager', 'maigre', 'margie', 'mirage']"
mire,4.2,3.94,7,"['emir', 'imer', 'mire', 'reim', 'remi', 'riem', 'rime']"
miscellaneous,5.38,4,1,['miscellaneous']
mischief,4.78,5.77,1,['mischief']
mischievous,4.48,4.88,1,['mischievous']
misfit,4.19,5.09,1,['misfit']
missionary,5.33,4.24,1,['missionary']
missy,5.4,3.39,2,"['mysis', 'missy']"
mister,5.56,3.2,8,"['merist', 'merits', 'mister', 'miters', 'mitres', 'remits', 'smiter', 'timers']"
mistrial,4.15,3.29,2,"['mistrial', 'trialism']"
misty,5.14,2.5,2,"['misty', 'stimy']"
miter,4.53,3.05,7,"['ermit', 'merit', 'miter', 'mitre', 'mtier', 'remit', 'timer']"
mitigate,5.38,3.9,1,['mitigate']
mitigating,4.47,3.85,1,['mitigating']
mitt,5.48,2.75,1,['mitt']
mitten,5.6,2.33,2,"['mitten', 'titmen']"
mitzvah,4.47,4.22,1,['mitzvah']
mix,5.71,2.86,1,['mix']
mixer,4.9,4.17,3,"['mirex', 'mixer', 'remix']"
mnemonic,5.1,3.45,1,['mnemonic']
moat,5.19,4.17,5,"['atmo', 'atom', 'moat', 'mota', 'toma']"
mobile,5.81,3.76,4,"['bemoil', 'emboil', 'emboli', 'mobile']"
mobility,5.53,4.7,1,['mobility']
mod,5.57,3.65,2,"['dom', 'mod']"
mode,5.25,3.43,4,"['demo', 'dome', 'mode', 'moed']"
modeling,5.67,3.92,1,['modeling']
modem,5.29,3.55,1,['modem']
moderate,5.52,4,1,['moderate']
moderation,5.3,3.67,1,['moderation']
modicum,4.95,3.33,1,['modicum']
modification,5.05,4.1,2,"['domification', 'modification']"
modify,5.1,3.78,2,"['domify', 'modify']"
module,4.9,4.33,1,['module']
mogul,5.42,3.48,1,['mogul']
moist,5.53,4.2,2,"['moist', 'omits']"
moisture,5.5,4.39,2,"['moisture', 'semitour']"
molar,4.73,3.54,3,"['molar', 'moral', 'romal']"
mole,4.23,3.81,1,['mole']
molecular,5.5,3.52,1,['molecular']
molecule,5.37,3.7,1,['molecule']
molten,4.75,4.26,4,"['loment', 'melton', 'molten', 'tolmen']"
momentary,4.95,3.73,2,"['manometry', 'momentary']"
monarch,4.33,3.41,3,"['monarch', 'nomarch', 'onmarch']"
monastery,4.75,2.5,2,"['monastery', 'oysterman']"
mongoloid,4.23,4.28,1,['mongoloid']
mongoose,4.95,3.55,2,"['gonosome', 'mongoose']"
monitor,5.05,3.86,1,['monitor']
monk,4.9,2.61,1,['monk']
monkey,5.82,5.15,1,['monkey']
monogrammed,4.79,2.82,1,['monogrammed']
monolith,5.24,3.57,1,['monolith']
monologue,5.43,3.05,1,['monologue']
monopoly,5.29,4.83,1,['monopoly']
monsieur,5.5,3.3,2,"['inermous', 'monsieur']"
montage,5.48,4.85,5,"['geomant', 'magneto', 'megaton', 'montage', 'togeman']"
month,5.78,3.64,1,['month']
monthly,5.32,3.5,1,['monthly']
monumental,5.74,5.24,1,['monumental']
moo,5.48,3.95,1,['moo']
mood,5.29,4.5,3,"['doom', 'modo', 'mood']"
moonshine,5.5,4.67,1,['moonshine']
moor,4.95,3.95,3,"['moor', 'moro', 'room']"
moot,4.62,3.71,2,"['moot', 'toom']"
mop,4.53,3.14,2,"['mop', 'pom']"
moped,5,3.62,1,['moped']
moray,4.74,4.45,2,"['mayor', 'moray']"
mores,5.17,2.6,6,"['meros', 'mores', 'morse', 'omers', 'sermo', 'smore']"
moron,4.3,4.5,2,"['moorn', 'moron']"
morph,5.5,5.19,1,['morph']
morphine,4.58,5.14,1,['morphine']
morsel,5.3,3.41,3,"['morels', 'morsel', 'somler']"
mortal,4.39,3.55,1,['mortal']
mortality,5.15,6.9,1,['mortality']
mosey,5.85,4.5,1,['mosey']
motel,5.3,3.55,3,"['metol', 'molet', 'motel']"
moth,4.47,2.55,1,['moth']
motherland,5.8,4.22,2,"['enthraldom', 'motherland']"
motif,5.27,4.24,1,['motif']
motion,5.8,4.71,1,['motion']
motive,5.32,4.86,2,"['evomit', 'motive']"
motley,4.89,2.95,2,"['etymol', 'motley']"
motor,5.64,5.42,1,['motor']
motorcade,4.64,4.67,1,['motorcade']
motorcar,5.7,3.95,1,['motorcar']
motorcycle,5.8,5.8,1,['motorcycle']
motorist,5.47,4.24,1,['motorist']
mound,5.43,3.63,2,"['donum', 'mound']"
mount,5.38,4.09,3,"['montu', 'mount', 'notum']"
Mountain Dew,5.47,5.05,0,[]
mouse,4.8,3.38,2,"['moues', 'mouse']"
mousetrap,4.82,4.05,1,['mousetrap']
moustache,5.35,3.23,1,['moustache']
mouth,5.59,4.14,1,['mouth']
mouthful,4.88,3.8,1,['mouthful']
mouthpiece,4.65,3.62,1,['mouthpiece']
mouthwash,5.7,2.67,1,['mouthwash']
move,4.95,4.24,1,['move']
mover,4.55,3.82,2,"['mover', 'vomer']"
mow,4.94,4.17,1,['mow']
mower,4.76,2.79,1,['mower']
mud,5.06,3.19,2,"['dum', 'mud']"
muddle,4.47,3.05,1,['muddle']
muff,5.63,3.59,1,['muff']
muffled,4.74,3.86,1,['muffled']
mug,4.16,3.83,2,"['gum', 'mug']"
mulberry,5.74,2.75,1,['mulberry']
mulch,5.33,3.52,1,['mulch']
mule,4.26,2.78,1,['mule']
mull,4.38,3.12,1,['mull']
multinational,5.3,3.94,1,['multinational']
multiple,5,4,1,['multiple']
multiplex,5.09,4.95,1,['multiplex']
multiply,5.43,4.39,1,['multiply']
multitude,5,4.09,1,['multitude']
mum,5.43,3.35,2,"['mum', 'umm']"
mumble,4.4,3.19,3,"['bummel', 'bummle', 'mumble']"
mumbo,4.76,5.1,1,['mumbo']
mummy,4.81,3.75,1,['mummy']
municipal,4.89,3.05,1,['municipal']
murmur,4.57,4.08,1,['murmur']
mushroom,5.61,3.14,1,['mushroom']
mushy,4.6,3.71,1,['mushy']
musk,4.5,2.45,1,['musk']
musketeer,4.76,4.71,1,['musketeer']
muskrat,4.15,3.5,1,['muskrat']
must,5.45,4.1,4,"['must', 'muts', 'smut', 'stum']"
mustard,4.74,3.39,2,"['durmast', 'mustard']"
muster,4.67,3.65,4,"['estrum', 'muster', 'sertum', 'stumer']"
mutant,5.06,4.61,3,"['mutant', 'tantum', 'tutman']"
mutate,4.16,5.88,1,['mutate']
mutiny,4.2,5.18,2,"['munity', 'mutiny']"
mutt,4.84,4.14,1,['mutt']
mutter,4.4,3.67,2,"['mutter', 'turmet']"
myriad,5.52,3.52,1,['myriad']
mystery,5.29,5.04,1,['mystery']
nada,4.57,3.7,3,"['anda', 'dana', 'nada']"
nail,4.6,3.05,5,"['alin', 'anil', 'lain', 'lina', 'nail']"
naive,4.22,3.86,4,"['avine', 'naevi', 'naive', 'vinea']"
name,5.62,3.04,6,"['amen', 'enam', 'mane', 'mean', 'name', 'nema']"
nana,5.79,3.82,3,"['anan', 'anna', 'nana']"
nanometer,5.15,3.59,2,"['nanometer', 'nanometre']"
napkin,5.63,3.09,2,"['napkin', 'pankin']"
narrow,4.95,4.53,1,['narrow']
nasal,4.26,3.38,5,"['alans', 'anlas', 'lanas', 'lansa', 'nasal']"
national,5.62,3.45,3,"['latonian', 'nataloin', 'national']"
nationality,5.6,3.5,1,['nationality']
nationwide,5.2,3.72,1,['nationwide']
native,5.85,3.05,2,"['native', 'navite']"
natural gas,4.47,3.36,0,[]
nautilus,5.29,3.76,3,"['lutianus', 'nautilus', 'ustulina']"
naval,5.19,2.86,2,"['alvan', 'naval']"
navel,4.89,3.36,3,"['elvan', 'navel', 'venal']"
navigate,5.05,4.18,2,"['navigate', 'vaginate']"
navigation,5.84,4,1,['navigation']
navigational,5.1,4,1,['navigational']
navigator,5.47,4.09,1,['navigator']
navy,5.38,3.64,1,['navy']
nearsighted,4.5,3.83,1,['nearsighted']
necessary,5.39,3.38,1,['necessary']
necessity,5.32,4.55,2,"['cysteines', 'necessity']"
neck,5.44,3.65,1,['neck']
necktie,4.84,2.62,1,['necktie']
need,5.45,3.67,5,"['dene', 'eden', 'ende', 'ened', 'need']"
needlepoint,5.55,3.2,1,['needlepoint']
needless,4.25,2.95,3,"['lessened', 'needless', 'seldseen']"
negotiate,5.57,5,1,['negotiate']
negotiator,5.1,4.45,1,['negotiator']
neighbor,5.6,3.72,1,['neighbor']
nerd,5.18,4.46,3,"['dern', 'nerd', 'rend']"
nerdy,4.68,4.3,0,[]
nerve,4.45,5.27,2,"['nerve', 'never']"
nest,5.65,3.35,5,"['nest', 'nets', 'sent', 'sten', 'tens']"
net,5,3,2,"['net', 'ten']"
nether,4.81,4.05,4,"['erthen', 'henter', 'nether', 'threne']"
network,5.05,4.43,1,['network']
networking,5.6,3.71,1,['networking']
neurologist,5.05,3.86,1,['neurologist']
neurology,4.95,4.55,1,['neurology']
neurosurgeon,4.67,4.85,1,['neurosurgeon']
neurosurgery,4.25,5.09,1,['neurosurgery']
neutral,5.5,3.45,4,"['laurent', 'naturel', 'neutral', 'unalert']"
neutralize,5.19,3.36,1,['neutralize']
new age,5.05,4.39,0,[]
newcomer,5.8,5.05,1,['newcomer']
news,4.96,4.61,4,"['news', 'sewn', 'snew', 'wens']"
newscast,5.43,4.74,1,['newscast']
newscaster,4.89,2.95,1,['newscaster']
newsflash,5.26,4.64,0,[]
newsletter,5.19,3.63,1,['newsletter']
newsman,5.52,3.12,1,['newsman']
newspaper,5.11,2.67,1,['newspaper']
newspaperman,5.63,3,1,['newspaperman']
newsreel,5.47,4.86,1,['newsreel']
newsroom,4.83,4.11,1,['newsroom']
newsstand,5.79,3.22,2,"['newsstand', 'newstands']"
newt,4.65,3.64,2,"['newt', 'went']"
nexus,5.57,3.96,2,"['nexus', 'unsex']"
niche,5.75,3.43,3,"['chien', 'chine', 'niche']"
nickel,5.62,4.22,2,"['nickel', 'nickle']"
nightcap,5.22,4,2,"['nightcap', 'patching']"
nightclub,5.32,5.08,1,['nightclub']
nightgown,5.85,3.35,1,['nightgown']
nightly,5.38,3.61,2,"['nightly', 'thingly']"
nightstand,5.62,4.04,1,['nightstand']
nimrod,4.21,3.67,2,"['dormin', 'nimrod']"
nincompoop,5,3.21,1,['nincompoop']
nine,5.1,3.83,3,"['inne', 'nein', 'nine']"
nineteen,5.63,3.86,1,['nineteen']
ninety,4.65,3.28,1,['ninety']
ninja,5.14,5.61,1,['ninja']
ninny,4.33,5.42,1,['ninny']
nip,5.25,4.39,2,"['nip', 'pin']"
nipper,5.43,4.42,1,['nipper']
nipple,5.73,5.88,2,"['lippen', 'nipple']"
nippy,4.79,5.45,1,['nippy']
nitrate,5,4,7,"['intrate', 'intreat', 'iterant', 'nattier', 'nitrate', 'tartine', 'tertian']"
nitro,5,4.55,4,"['intro', 'iortn', 'nitro', 'norit']"
nitrogen,4.6,5.2,1,['nitrogen']
nitrous,5.1,5.25,3,"['intruso', 'nitrous', 'trusion']"
nobility,5.83,4.57,1,['nobility']
